Genes	KEGG_ID	Metabolism	Pathways	Genes_name	Isoforms
ALDH1A3	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	aldehyde	aldehyde dehydrogenase 1 family member A3
ALDH1B1	hsa00010 / hsa00053 / hsa00620 / hsa00071 / hsa00561 / hsa00280 / hsa00310 / hsa00330 / hsa00340 / hsa00380 / hsa00410 / hsa00770	Carbohydrate metabolism / Lipid metabolism / Amino acid metabolism / Metabolism of other amino acids / Metabolism of cofactors and vitamins	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Ascorbate and aldarate metabolism - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human) / Glycerolipid metabolism - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human) / Lysine degradation - Homo sapiens (human) / Arginine and proline metabolism - Homo sapiens (human) / Histidine metabolism - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human) / beta-Alanine metabolism - Homo sapiens (human) / Pantothenate and CoA biosynthesis - Homo sapiens (human)	aldehyde	aldehyde dehydrogenase 1 family member B1
ALDH1L1	hsa00670	Metabolism of cofactors and vitamins	One carbon pool by folate - Homo sapiens (human)	aldehyde	aldehyde dehydrogenase 1 family member L1
ALDH1L2	hsa00670	Metabolism of cofactors and vitamins	One carbon pool by folate - Homo sapiens (human)	aldehyde	aldehyde dehydrogenase 1 family member L2
ALDH2	hsa00010 / hsa00053 / hsa00620 / hsa00071 / hsa00561 / hsa00280 / hsa00310 / hsa00330 / hsa00340 / hsa00380 / hsa00410 / hsa00770	Carbohydrate metabolism / Lipid metabolism / Amino acid metabolism / Metabolism of other amino acids / Metabolism of cofactors and vitamins	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Ascorbate and aldarate metabolism - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human) / Glycerolipid metabolism - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human) / Lysine degradation - Homo sapiens (human) / Arginine and proline metabolism - Homo sapiens (human) / Histidine metabolism - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human) / beta-Alanine metabolism - Homo sapiens (human) / Pantothenate and CoA biosynthesis - Homo sapiens (human)	aldehyde	aldehyde dehydrogenase 2 family member
ALDH3A1	hsa00010 / hsa00340 / hsa00350 / hsa00360 / hsa00410	Carbohydrate metabolism / Amino acid metabolism / Metabolism of other amino acids	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Histidine metabolism - Homo sapiens (human) / Tyrosine metabolism - Homo sapiens (human) / Phenylalanine metabolism - Homo sapiens (human) / beta-Alanine metabolism - Homo sapiens (human)	aldehyde	aldehyde dehydrogenase 3 family member A1
ALDH3A2	hsa00010 / hsa00053 / hsa00620 / hsa00071 / hsa00561 / hsa00280 / hsa00310 / hsa00330 / hsa00340 / hsa00380 / hsa00410 / hsa00770	Carbohydrate metabolism / Lipid metabolism / Amino acid metabolism / Metabolism of other amino acids / Metabolism of cofactors and vitamins	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Ascorbate and aldarate metabolism - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human) / Glycerolipid metabolism - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human) / Lysine degradation - Homo sapiens (human) / Arginine and proline metabolism - Homo sapiens (human) / Histidine metabolism - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human) / beta-Alanine metabolism - Homo sapiens (human) / Pantothenate and CoA biosynthesis - Homo sapiens (human)	aldehyde	aldehyde dehydrogenase 3 family member A2
ALDH3B1	hsa00010 / hsa00340 / hsa00350 / hsa00360 / hsa00410	Carbohydrate metabolism / Amino acid metabolism / Metabolism of other amino acids	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Histidine metabolism - Homo sapiens (human) / Tyrosine metabolism - Homo sapiens (human) / Phenylalanine metabolism - Homo sapiens (human) / beta-Alanine metabolism - Homo sapiens (human)	aldehyde	aldehyde dehydrogenase 3 family member B1
ALDH3B2	hsa00010 / hsa00340 / hsa00350 / hsa00360 / hsa00410	Carbohydrate metabolism / Amino acid metabolism / Metabolism of other amino acids	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Histidine metabolism - Homo sapiens (human) / Tyrosine metabolism - Homo sapiens (human) / Phenylalanine metabolism - Homo sapiens (human) / beta-Alanine metabolism - Homo sapiens (human)	aldehyde	aldehyde dehydrogenase 3 family member B2
ALDH4A1	hsa00250 / hsa00330	Amino acid metabolism	Alanine, aspartate and glutamate metabolism - Homo sapiens (human) / Arginine and proline metabolism - Homo sapiens (human)	aldehyde	aldehyde dehydrogenase 4 family member A1
ALDH5A1	hsa00650 / hsa00250	Carbohydrate metabolism / Amino acid metabolism	Butanoate metabolism - Homo sapiens (human) / Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	aldehyde	aldehyde dehydrogenase 5 family member A1
ALDH6A1	hsa00640 / hsa00562 / hsa00280 / hsa00410	Carbohydrate metabolism / Amino acid metabolism / Metabolism of other amino acids	Propanoate metabolism - Homo sapiens (human) / Inositol phosphate metabolism - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human) / beta-Alanine metabolism - Homo sapiens (human)	aldehyde	aldehyde dehydrogenase 6 family member A1
ALDH7A1	hsa00010 / hsa00053 / hsa00620 / hsa00071 / hsa00561 / hsa00260 / hsa00280 / hsa00310 / hsa00330 / hsa00340 / hsa00380 / hsa00410 / hsa00670	Carbohydrate metabolism / Lipid metabolism / Amino acid metabolism / Metabolism of other amino acids / Metabolism of cofactors and vitamins	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Ascorbate and aldarate metabolism - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human) / Glycerolipid metabolism - Homo sapiens (human) / Glycine, serine and threonine metabolism - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human) / Lysine degradation - Homo sapiens (human) / Arginine and proline metabolism - Homo sapiens (human) / Histidine metabolism - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human) / beta-Alanine metabolism - Homo sapiens (human) / One carbon pool by folate - Homo sapiens (human)	aldehyde	aldehyde dehydrogenase 7 family member A1
ALDH8A1	hsa00380	Amino acid metabolism	Tryptophan metabolism - Homo sapiens (human)	aldehyde	aldehyde dehydrogenase 8 family member A1
ALDH9A1	hsa00010 / hsa00053 / hsa00620 / hsa00071 / hsa00561 / hsa00280 / hsa00310 / hsa00330 / hsa00340 / hsa00380 / hsa00410	Carbohydrate metabolism / Lipid metabolism / Amino acid metabolism / Metabolism of other amino acids	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Ascorbate and aldarate metabolism - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human) / Glycerolipid metabolism - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human) / Lysine degradation - Homo sapiens (human) / Arginine and proline metabolism - Homo sapiens (human) / Histidine metabolism - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human) / beta-Alanine metabolism - Homo sapiens (human)	aldehyde	aldehyde dehydrogenase 9 family member A1
ALDOA	hsa00010 / hsa00030 / hsa00051	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Pentose phosphate pathway - Homo sapiens (human) / Fructose and mannose metabolism - Homo sapiens (human)	aldolase,	aldolase, fructose-bisphosphate A
ALDOB	hsa00010 / hsa00030 / hsa00051	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Pentose phosphate pathway - Homo sapiens (human) / Fructose and mannose metabolism - Homo sapiens (human)	aldolase,	aldolase, fructose-bisphosphate B
ALDOC	hsa00010 / hsa00030 / hsa00051	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Pentose phosphate pathway - Homo sapiens (human) / Fructose and mannose metabolism - Homo sapiens (human)	aldolase,	aldolase, fructose-bisphosphate C
ALLC	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	allantoicase	allantoicase
ALOX12	hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	arachidonate	arachidonate 12-lipoxygenase, 12S type
ALOX12B	hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	arachidonate	arachidonate 12-lipoxygenase, 12R type
ALOX15	hsa00590 / hsa00591	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human)	arachidonate	arachidonate 15-lipoxygenase
ALOX15B	hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	arachidonate	arachidonate 15-lipoxygenase type B
ALOX5	hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	arachidonate	arachidonate 5-lipoxygenase
ALOXE3	hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	arachidonate	arachidonate epidermal lipoxygenase 3
ALPPL2	hsa00730 / hsa00790	Metabolism of cofactors and vitamins	Thiamine metabolism - Homo sapiens (human) / Folate biosynthesis - Homo sapiens (human)	alkaline	alkaline phosphatase, germ cell
ALPI	hsa00730 / hsa00790	Metabolism of cofactors and vitamins	Thiamine metabolism - Homo sapiens (human) / Folate biosynthesis - Homo sapiens (human)	alkaline	alkaline phosphatase, intestinal
ALPL	hsa00730 / hsa00790	Metabolism of cofactors and vitamins	Thiamine metabolism - Homo sapiens (human) / Folate biosynthesis - Homo sapiens (human)	alkaline	alkaline phosphatase, biomineralization associated
ALPP	hsa00730 / hsa00790	Metabolism of cofactors and vitamins	Thiamine metabolism - Homo sapiens (human) / Folate biosynthesis - Homo sapiens (human)	alkaline	alkaline phosphatase, placental
AMACR	hsa00120	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human)	alpha-methylacyl-CoA	alpha-methylacyl-CoA racemase
AMD1	hsa00270 / hsa00330	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human) / Arginine and proline metabolism - Homo sapiens (human)	adenosylmethionine	adenosylmethionine decarboxylase 1
AMDHD1	hsa00340	Amino acid metabolism	Histidine metabolism - Homo sapiens (human)	amidohydrolase	amidohydrolase domain containing 1
AMDHD2	hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	amidohydrolase	amidohydrolase domain containing 2
AMPD1	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	adenosine	adenosine monophosphate deaminase 1
AMPD2	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	adenosine	adenosine monophosphate deaminase 2
AMPD3	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	adenosine	adenosine monophosphate deaminase 3
AMT	hsa00630 / hsa00260 / hsa00785 / hsa00670	Carbohydrate metabolism / Amino acid metabolism / Metabolism of cofactors and vitamins	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human) / Glycine, serine and threonine metabolism - Homo sapiens (human) / Lipoic acid metabolism - Homo sapiens (human) / One carbon pool by folate - Homo sapiens (human)	aminomethyltransferase	aminomethyltransferase
AMY1A	hsa00500	Carbohydrate metabolism	Starch and sucrose metabolism - Homo sapiens (human)	amylase	amylase alpha 1A
AMY1B	hsa00500	Carbohydrate metabolism	Starch and sucrose metabolism - Homo sapiens (human)	amylase	amylase alpha 1B
AMY1C	hsa00500	Carbohydrate metabolism	Starch and sucrose metabolism - Homo sapiens (human)	amylase	amylase alpha 1C
AMY2A	hsa00500	Carbohydrate metabolism	Starch and sucrose metabolism - Homo sapiens (human)	amylase	amylase alpha 2A
AMY2B	hsa00500	Carbohydrate metabolism	Starch and sucrose metabolism - Homo sapiens (human)	amylase	amylase alpha 2B
ANPEP	hsa00480	Metabolism of other amino acids	Glutathione metabolism - Homo sapiens (human)	alanyl	alanyl aminopeptidase, membrane
AOC1	hsa00330 / hsa00340 / hsa00380	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human) / Histidine metabolism - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human)	amine	amine oxidase copper containing 1
AOC2	hsa00260 / hsa00350 / hsa00360 / hsa00410	Amino acid metabolism / Metabolism of other amino acids	Glycine, serine and threonine metabolism - Homo sapiens (human) / Tyrosine metabolism - Homo sapiens (human) / Phenylalanine metabolism - Homo sapiens (human) / beta-Alanine metabolism - Homo sapiens (human)	amine	amine oxidase copper containing 2
AOC3	hsa00260 / hsa00350 / hsa00360 / hsa00410	Amino acid metabolism / Metabolism of other amino acids	Glycine, serine and threonine metabolism - Homo sapiens (human) / Tyrosine metabolism - Homo sapiens (human) / Phenylalanine metabolism - Homo sapiens (human) / beta-Alanine metabolism - Homo sapiens (human)	amine	amine oxidase copper containing 3
AOX1	hsa00280 / hsa00350 / hsa00380 / hsa00750 / hsa00760 / hsa00830	Amino acid metabolism / Metabolism of cofactors and vitamins	Valine, leucine and isoleucine degradation - Homo sapiens (human) / Tyrosine metabolism - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human) / Vitamin B6 metabolism - Homo sapiens (human) / Nicotinate and nicotinamide metabolism - Homo sapiens (human) / Retinol metabolism - Homo sapiens (human)	aldehyde	aldehyde oxidase 1
APIP	hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	APAF1	APAF1 interacting protein
APRT	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	adenine	adenine phosphoribosyltransferase
ARG1	hsa00220 / hsa00330	Amino acid metabolism	Arginine biosynthesis - Homo sapiens (human) / Arginine and proline metabolism - Homo sapiens (human)	arginase	arginase 1
ARG2	hsa00220 / hsa00330	Amino acid metabolism	Arginine biosynthesis - Homo sapiens (human) / Arginine and proline metabolism - Homo sapiens (human)	arginase	arginase 2
ARSA	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	arylsulfatase	arylsulfatase A
ASAH1	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	N-acylsphingosine	N-acylsphingosine amidohydrolase 1
ASAH2	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	N-acylsphingosine	N-acylsphingosine amidohydrolase 2
ASH1L	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	ASH1	ASH1 like histone lysine methyltransferase
ASL	hsa00250 / hsa00220	Amino acid metabolism	Alanine, aspartate and glutamate metabolism - Homo sapiens (human) / Arginine biosynthesis - Homo sapiens (human)	argininosuccinate	argininosuccinate lyase
ASMT	hsa00380	Amino acid metabolism	Tryptophan metabolism - Homo sapiens (human)	acetylserotonin	acetylserotonin O-methyltransferase
ASMTL	hsa00240	Nucleotide metabolism	Pyrimidine metabolism - Homo sapiens (human)	acetylserotonin	acetylserotonin O-methyltransferase like
ASNS	hsa00250	Amino acid metabolism	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	asparagine	asparagine synthetase (glutamine-hydrolyzing)
ASPA	hsa00250 / hsa00340	Amino acid metabolism	Alanine, aspartate and glutamate metabolism - Homo sapiens (human) / Histidine metabolism - Homo sapiens (human)	aspartoacylase	aspartoacylase
ASPDH	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	aspartate	aspartate dehydrogenase domain containing
ASRGL1	hsa00250	Amino acid metabolism	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	asparaginase	asparaginase and isoaspartyl peptidase 1
ASS1	hsa00250 / hsa00220	Amino acid metabolism	Alanine, aspartate and glutamate metabolism - Homo sapiens (human) / Arginine biosynthesis - Homo sapiens (human)	argininosuccinate	argininosuccinate synthase 1
ATIC	hsa00230 / hsa00670	Nucleotide metabolism / Metabolism of cofactors and vitamins	Purine metabolism - Homo sapiens (human) / One carbon pool by folate - Homo sapiens (human)	5-aminoimidazole-4-carboxamide	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
ATP12A	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	ATPase	ATPase H+/K+ transporting non-gastric alpha2 subunit
ATP4A	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	ATPase	ATPase H+/K+ transporting subunit alpha
ATP4B	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	ATPase	ATPase H+/K+ transporting subunit beta
ATP5A1	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	ATP	ATP synthase F1 subunit alpha
ATP5B	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	ATP	ATP synthase F1 subunit beta
ATP5C1	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	ATP	ATP synthase F1 subunit gamma
ATP5D	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	ATP	ATP synthase F1 subunit delta
ATP5E	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	ATP	ATP synthase F1 subunit epsilon
ATP5G1	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	ATP	ATP synthase membrane subunit c locus 1
ATP5G2	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	ATP	ATP synthase membrane subunit c locus 2
ATP5G3	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	ATP	ATP synthase membrane subunit c locus 3
ATP5I	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	ATP	ATP synthase membrane subunit e
